Player,,College,Year,NUMBER,PICK
Jason Thompson,Sacramento Kings,Rider,2008,1,12
Brandon Rush,Portland Trail Blazers,Kansas,2008,1,13
Anthony Randolph,Golden State Warriors,Louisiana State,2008,1,14
Robin Lopez,Phoenix Suns,Stanford,2008,1,15
Marreese Speights,Philadelphia 76ers,Florida,2008,1,16
Roy Hibbert,Toronto Raptors,Georgetown,2008,1,17
JaVale McGee,Washington Wizards,Nevada-Reno,2008,1,18
JJ Hickson,Cleveland Cavaliers,North Carolina State,2008,1,19
Alexis Ajinca,Charlotte Bobcats,Hyeres-Toulon Var Basket (France),2008,1,20
Ryan Anderson,New Jersey Nets,California,2008,1,21
Courtney Lee,Orlando Magic,Western Kentucky,2008,1,22
Kosta Koufos,Utah Jazz,Ohio State,2008,1,23
Serge Ibaka,Oklahoma City Thunder,CB L'Hospitalet (Spain),2008,1,24
Nicolas Batum,Houston Rockets,Le Mans Sarthe Basket (France),2008,1,25
George Hill,San Antonio Spurs,IUPUI,2008,1,26
Darrell Arthur,New Orleans Hornets,Kansas,2008,1,27
Donte Greene,Memphis Grizzlies,Syracuse,2008,1,28
DJ White,Detroit Pistons,Indiana,2008,1,29
J.R. Giddens,Boston Celtics,New Mexico,2008,1,30
Nikola Pekovic,Minnesota Timberwolves,KK Partizan (Serbia),2008,2,1
Walter Sharpe,Oklahoma City Thunder,Alabama-Birmingham,2008,2,2
Joey Dorsey,Portland Trail Blazers,Memphis,2008,2,3
Mario Chalmers,Minnesota Timberwolves,Kansas,2008,2,4
DeAndre Jordan,Los Angeles Clippers,Texas A&M,2008,2,5
Omer Asik,Portland Trail Blazers,Fenerbahce S.K. (Turkey),2008,2,6
Luc Mbah a Moute,Milwaukee Bucks,California-Los Angeles,2008,2,7
Kyle Weaver,Charlotte Bobcats,Washington State,2008,2,8
Sonny Weems,Chicago Bulls,Arkansas,2008,2,9
Chris Douglas-Roberts,New Jersey Nets,Memphis,2008,2,10
Nathan Jawai,Indiana Pacers,Cairns Taipans (Australia),2008,2,11
Sean Singletary,Sacramento Kings,Virginia,2008,2,12
Patrick Ewing,Sacramento Kings,Georgetown,2008,2,13
Ante Tomic,Utah Jazz,KK Zagreb (Croatia),2008,2,14
Goran Dragic,San Antonio Spurs,KK Olimpija (Slovenia),2008,2,15
Trent Plaisted,Oklahoma City Thunder,Brigham Young,2008,2,16
Henry Walker,Washington Wizards,Kansas State,2008,2,17
Malik Hairston,Phoenix Suns,Oregon,2008,2,18
Richard Hendrix,Golden State Warriors,Alabama,2008,2,19
DeVon Hardin,Oklahoma City Thunder,California,2008,2,20
Shan Foster,Dallas Mavericks,Vanderbilt,2008,2,21
Darnell Jackson,Miami Heat,Kansas,2008,2,22
Tadija Dragicevic,Utah Jazz,KK Crvena zvezda (Serbia),2008,2,23
Maarty Leunen,Houston Rockets,Oregon,2008,2,24
Mike Taylor,Portland Trail Blazers,Idaho Stampede (D-League),2008,2,25
Sasha Kaun,Oklahoma City Thunder,Kansas,2008,2,26
James Gist,San Antonio Spurs,Maryland,2008,2,27
Joe Crawford,Los Angeles Lakers,Kentucky,2008,2,28
Deron Washington,Detroit Pistons,Virginia Tech,2008,2,29
Semih Erden,Boston Celtics,Fenerbahce S.K. (Turkey),2008,2,30
Greg Oden,Portland Trail Blazers,Ohio State,2007,1,1
Kevin Durant,Seattle SuperSonics,Texas,2007,1,2
Al Horford,Atlanta Hawks,Florida,2007,1,3
Mike Conley,Memphis Grizzlies,Ohio State,2007,1,4
Jeff Green,Boston Celtics,Georgetown,2007,1,5
Yi Jianlian,Milwaukee Bucks,Guangdong Southern Tigers (China),2007,1,6
Corey Brewer,Minnesota Timberwolves,Florida,2007,1,7
Brandan Wright,Charlotte Bobcats,North Carolina,2007,1,8
Joakim Noah,Chicago Bulls,Florida,2007,1,9
Spencer Hawes,Sacramento Kings,Washington,2007,1,10
Acie Law,Atlanta Hawks,Texas A&M,2007,1,11
Thaddeus Young,Philadelphia 76ers,Georgia Tech,2007,1,12
Julian Wright,New Orleans Hornets,Kansas,2007,1,13
Al Thornton,Los Angeles Clippers,Florida State,2007,1,14
Rodney Stuckey,Detroit Pistons,Eastern Washington,2007,1,15
Nick Young,Washington Wizards,Southern California,2007,1,16
Sean Williams,New Jersey Nets,Boston College,2007,1,17
Marco Belinelli,Golden State Warriors,Fortitudo Pallacanestro Bologna (Italy),2007,1,18
Javaris Crittenton,Los Angeles Lakers,Georgia Tech,2007,1,19
Jason Smith,Miami Heat,Colorado State,2007,1,20
Daequan Cook,Philadelphia 76ers,Ohio State,2007,1,21
Jared Dudley,Charlotte Bobcats,Boston College,2007,1,22
Wilson Chandler,New York Knicks,DePaul,2007,1,23
Rudy Fernandez,Phoenix Suns,Joventut Badalona (Spain),2007,1,24
Morris Almond,Utah Jazz,Rice,2007,1,25
Aaron Brooks,Houston Rockets,Oregon,2007,1,26
Arron Afflalo,Detroit Pistons,California-Los Angeles,2007,1,27
Tiago Splitter,San Antonio Spurs,Saski Baskonia (Spain),2007,1,28
Alando Tucker,Phoenix Suns,Wisconsin,2007,1,29
Petteri Koponen,Philadelphia 76ers,Espoon Honka (Finland),2007,1,30
Carl Landry,Seattle SuperSonics,Purdue,2007,2,1
Gabe Pruitt,Boston Celtics,Southern California,2007,2,2
Marcus Williams,San Antonio Spurs,Arizona,2007,2,3
Nick Fazekas,Dallas Mavericks,Nevada-Reno,2007,2,4
Glen Davis,Seattle SuperSonics,Louisiana State,2007,2,5
Jermareo Davidson,Golden State Warriors,Alabama,2007,2,6
Josh McRoberts,Portland Trail Blazers,Duke,2007,2,7
Kyrylo Fesenko,Philadelphia 76ers,Cherkaski Mavpy (Ukraine),2007,2,8
Stanko Barac,Miami Heat,HKK Siroki (Bosnia and Herzegovina),2007,2,9
Sun Sun,Los Angeles Lakers,Beijing Olympians (China),2007,2,10
Chris Richard,Minnesota Timberwolves,Florida,2007,2,11
Derrick Byars,Portland Trail Blazers,Vanderbilt,2007,2,12
Adam Haluska,New Orleans Hornets,Iowa,2007,2,13
Reyshawn Terry,Orlando Magic,North Carolina,2007,2,14
Jared Jordan,Los Angeles Clippers,Marist,2007,2,15
Stephane Lasme,Golden State Warriors,Massachusetts,2007,2,16
Dominic McGuire,Washington Wizards,Fresno State,2007,2,17
Marc Gasol,Los Angeles Lakers,CB Sant Josep (Spain),2007,2,18
Aaron Gray,Chicago Bulls,Pittsburgh,2007,2,19
Renaldas Seibutis,Dallas Mavericks,Maroussi B.C. (Greece),2007,2,20
JamesOn Curry,Chicago Bulls,Oklahoma State,2007,2,21
Taurean Green,Portland Trail Blazers,Florida,2007,2,22
Demetris Nichols,Portland Trail Blazers,Syracuse,2007,2,23
Brad Newley,Houston Rockets,Townsville Crocodiles (Australia),2007,2,24
Herbert Hill,Utah Jazz,Providence,2007,2,25
Ramon Sessions,Milwaukee Bucks,Nevada-Reno,2007,2,26
Sammy Mejia,Detroit Pistons,DePaul,2007,2,27
Giorgos Printezis,San Antonio Spurs,Olympiacos B.C. (Greece),2007,2,28
DJ Strawberry,Phoenix Suns,Maryland,2007,2,29
Milovan Rakovic,Dallas Mavericks,KK Mega Leks (Serbia),2007,2,30
Andrea Bargnani,Toronto Raptors,Universo Treviso Basket (Italy),2006,1,1
LaMarcus Aldridge,Chicago Bulls,Texas,2006,1,2
Adam Morrison,Charlotte Bobcats,Gonzaga,2006,1,3
Tyrus Thomas,Portland Trail Blazers,Louisiana State,2006,1,4
Shelden Williams,Atlanta Hawks,Duke,2006,1,5
Brandon Roy,Minnesota Timberwolves,Washington,2006,1,6
Randy Foye,Boston Celtics,Villanova,2006,1,7
Rudy Gay,Houston Rockets,Connecticut,2006,1,8
Patrick O'Bryant,Golden State Warriors,Bradley,2006,1,9
Mouhamed Sene,Seattle SuperSonics,VOO Wolves Verviers-Pepinster (Belgium),2006,1,10
JJ Redick,Orlando Magic,Duke,2006,1,11
Hilton Armstrong,New Orleans/Oklahoma City Hornets,Connecticut,2006,1,12
Thabo Sefolosha,Philadelphia 76ers,Pallacanestro Biella (Italy),2006,1,13
Ronnie Brewer,Utah Jazz,Arkansas,2006,1,14
Cedric Simmons,New Orleans/Oklahoma City Hornets,North Carolina State,2006,1,15
Rodney Carney,Chicago Bulls,Memphis,2006,1,16
Shawne Williams,Indiana Pacers,Memphis,2006,1,17
Oleksiy Pecherov,Washington Wizards,Paris Basket Racing (France),2006,1,18
Quincy Douby,Sacramento Kings,Rutgers,2006,1,19
Renaldo Balkman,New York Knicks,South Carolina,2006,1,20
Rajon Rondo,Phoenix Suns,Kentucky,2006,1,21
Marcus Williams,New Jersey Nets,Connecticut,2006,1,22
Josh Boone,New Jersey Nets,Connecticut,2006,1,23
Kyle Lowry,Memphis Grizzlies,Villanova,2006,1,24
Shannon Brown,Cleveland Cavaliers,Michigan State,2006,1,25
Jordan Farmar,Los Angeles Lakers,California-Los Angeles,2006,1,26
Sergio Rodriguez,Phoenix Suns,CB Estudiantes (Spain),2006,1,27
Maurice Ager,Dallas Mavericks,Michigan State,2006,1,28
Mardy Collins,New York Knicks,Temple,2006,1,29
Joel Freeland,Portland Trail Blazers,CB Gran Canaria (Spain),2006,1,30
James White,Portland Trail Blazers,Cincinnati,2006,2,1
Steve Novak,Houston Rockets,Marquette,2006,2,2
Solomon Jones,Atlanta Hawks,South Florida,2006,2,3
Paul Davis,Los Angeles Clippers,Michigan State,2006,2,4
P.J. Tucker,Toronto Raptors,Texas,2006,2,5
Craig Smith,Minnesota Timberwolves,Boston College,2006,2,6
Bobby Jones,Minnesota Timberwolves,Washington,2006,2,7
Kosta Perovic,Golden State Warriors,KK Partizan (Serbia),2006,2,8
David Noel,Milwaukee Bucks,North Carolina,2006,2,9
Denham Brown,Seattle SuperSonics,Connecticut,2006,2,10
James Augustine,Orlando Magic,Illinois,2006,2,11
Daniel Gibson,Cleveland Cavaliers,Texas,2006,2,12
Marcus Vinicius,New Orleans/Oklahoma City Hornets,Objetivo Sao Carlos (Brazil),2006,2,13
Lior Eliyahu,Orlando Magic,Hapoel Galil Elyon (Israel),2006,2,14
Alexander Johnson,Indiana Pacers,Florida State,2006,2,15
Dee Brown,Utah Jazz,Illinois,2006,2,16
Paul Millsap,Utah Jazz,Louisiana Tech,2006,2,17
Vladimir Veremeenko,Washington Wizards,CB Cornella (Spain),2006,2,18
Leon Powe,Denver Nuggets,California,2006,2,19
Ryan Hollins,Charlotte Bobcats,California-Los Angeles,2006,2,20
Cheikh Samb,Los Angeles Lakers,CB Cornella (Spain),2006,2,21
Guillermo Diaz,Los Angeles Clippers,Miami (FL),2006,2,22
Yotam Halperin,Seattle SuperSonics,KK Olimpija (Slovenia),2006,2,23
Hassan Adams,New Jersey Nets,Arizona,2006,2,24
Ejike Ugboaja,Cleveland Cavaliers,Union Bank Lagos B.C. (Nigeria),2006,2,25
Edin Bavcic,Toronto Raptors,KK Bosna Royal (Bosnia and Herzegovina),2006,2,26
Loukas Mavrokefalidis,Minnesota Timberwolves,P.A.O.K. B.C. (Greece),2006,2,27
JR Pinnock,Dallas Mavericks,George Washington,2006,2,28
Damir Markota,San Antonio Spurs,KK Cibona (Croatia),2006,2,29
Will Blalock,Detroit Pistons,Iowa State,2006,2,30
Andrew Bogut,Milwaukee Bucks,Utah,2005,1,1
Marvin Williams,Atlanta Hawks,North Carolina,2005,1,2
Deron Williams,Utah Jazz,Illinois,2005,1,3
Chris Paul,New Orleans/Oklahoma City Hornets,Wake Forest,2005,1,4
Raymond Felton,Charlotte Bobcats,North Carolina,2005,1,5
Martell Webster,Portland Trail Blazers,Seattle Preparatory School,2005,1,6
Charlie Villanueva,Toronto Raptors,Connecticut,2005,1,7
Channing Frye,New York Knicks,Arizona,2005,1,8
Ike Diogu,Golden State Warriors,Arizona State,2005,1,9
Andrew Bynum,Los Angeles Lakers,Saint Joseph,2005,1,10
Fran Vazquez,Orlando Magic,Baloncesto Malaga (Spain),2005,1,11
Yaroslav Korolev,Los Angeles Clippers,PBC CSKA Moscow (Russia),2005,1,12
Sean May,Charlotte Bobcats,North Carolina,2005,1,13
Rashad McCants,Minnesota Timberwolves,North Carolina,2005,1,14
Antoine Wright,New Jersey Nets,Texas A&M,2005,1,15
Joey Graham,Toronto Raptors,Oklahoma State,2005,1,16
Danny Granger,Indiana Pacers,New Mexico,2005,1,17
Gerald Green,Boston Celtics,Gulf Shores Academy,2005,1,18
Hakim Warrick,Memphis Grizzlies,Syracuse,2005,1,19
Julius Hodge,Denver Nuggets,North Carolina State,2005,1,20
Nate Robinson,Phoenix Suns,Washington,2005,1,21
Jarrett Jack,Denver Nuggets,Georgia Tech,2005,1,22
Francisco Garcia,Sacramento Kings,Louisville,2005,1,23
Luther Head,Houston Rockets,Illinois,2005,1,24
Johan Petro,Seattle SuperSonics,Elan Bearnais Pau-Orthez (France),2005,1,25
Jason Maxiell,Detroit Pistons,Cincinnati,2005,1,26
Linas Kleiza,Portland Trail Blazers,Missouri,2005,1,27
Ian Mahinmi,San Antonio Spurs,STB Le Havre (France),2005,1,28
Wayne Simien,Miami Heat,Kansas,2005,1,29
David Lee,New York Knicks,Florida,2005,1,30
Salim Stoudamire,Atlanta Hawks,Arizona,2005,2,1
Daniel Ewing,Los Angeles Clippers,Duke,2005,2,2
Brandon Bass,New Orleans/Oklahoma City Hornets,Louisiana State,2005,2,3
CJ Miles,Utah Jazz,Skyline,2005,2,4
Ricky Sanchez,Portland Trail Blazers,IMG Academy,2005,2,5
Ersan Ilyasova,Milwaukee Bucks,Ulkerspor (Turkey),2005,2,6
Ronny Turiaf,Los Angeles Lakers,Gonzaga,2005,2,7
Travis Diener,Orlando Magic,Marquette,2005,2,8
Von Wafer,Los Angeles Lakers,Florida State,2005,2,9
Monta Ellis,Golden State Warriors,Lanier,2005,2,10
Roko Ukic,Toronto Raptors,KK Split (Croatia),2005,2,11
Chris Taft,Golden State Warriors,Pittsburgh,2005,2,12
Mile Ilic,New Jersey Nets,KK FMP (Serbia),2005,2,13
Martynas Andriuskevicius,Orlando Magic,BC Zalgiris (Lithuania),2005,2,14
Lou Williams,Philadelphia 76ers,South Gwinnett,2005,2,15
Erazem Lorbek,Indiana Pacers,Fortitudo Pallacanestro Bologna (Italy),2005,2,16
Bracey Wright,Minnesota Timberwolves,Indiana,2005,2,17
Mickael Gelabale,Seattle SuperSonics,Real Madrid Baloncesto (Spain),2005,2,18
Andray Blatche,Washington Wizards,South Kent School,2005,2,19
Ryan Gomes,Boston Celtics,Providence,2005,2,20
Robert Whaley,Utah Jazz,Walsh,2005,2,21
Axel Hervelle,Denver Nuggets,Real Madrid Baloncesto (Spain),2005,2,22
Orien Greene,Boston Celtics,Louisiana-Lafayette,2005,2,23
Dijon Thompson,New York Knicks,California-Los Angeles,2005,2,24
Lawrence Roberts,Seattle SuperSonics,Mississippi,2005,2,25
Amir Johnson,Detroit Pistons,Westchester,2005,2,26
Marcin Gortat,Phoenix Suns,Koln 99ers (Germany),2005,2,27
Uros Slokar,Toronto Raptors,Pallalcesto Amatori Udine (Italy),2005,2,28
Cenk Akyol,Atlanta Hawks,Anadolu Efes S.K. (Turkey),2005,2,29
Alex Acker,Detroit Pistons,Pepperdine,2005,2,30
Dwight Howard,Orlando Magic,Southwest Atlanta Christian Academy,2004,1,1
Emeka Okafor,Charlotte Bobcats,Connecticut,2004,1,2
Ben Gordon,Chicago Bulls,Connecticut,2004,1,3
Shaun Livingston,Los Angeles Clippers,Peoria,2004,1,4
Devin Harris,Washington Wizards,Wisconsin,2004,1,5
Josh Childress,Atlanta Hawks,Stanford,2004,1,6
Luol Deng,Phoenix Suns,Duke,2004,1,7
Rafael Araujo,Toronto Raptors,Brigham Young,2004,1,8
Andre Iguodala,Philadelphia 76ers,Arizona,2004,1,9
Luke Jackson,Cleveland Cavaliers,Oregon,2004,1,10
Andris Biedrins,Golden State Warriors,BK Skonto (Latvia),2004,1,11
Robert Swift,Seattle SuperSonics,Bakersfield,2004,1,12
Sebastian Telfair,Portland Trail Blazers,Abraham Lincoln,2004,1,13
Kris Humphries,Utah Jazz,Minnesota,2004,1,14
Al Jefferson,Boston Celtics,Prentiss,2004,1,15
Kirk Snyder,Utah Jazz,Nevada-Reno,2004,1,16
Josh Smith,Atlanta Hawks,Oak Hill Academy,2004,1,17
JR Smith,New Orleans Hornets,Saint Benedict's Preparatory School,2004,1,18
Dorell Wright,Miami Heat,South Kent School,2004,1,19
Jameer Nelson,Denver Nuggets,Saint Joseph's,2004,1,20
Pavel Podkolzin,Utah Jazz,Pallacanestro Varese (Italy),2004,1,21
Viktor Khryapa,New Jersey Nets,PBC CSKA Moscow (Russia),2004,1,22
Sergei Monia,Portland Trail Blazers,PBC CSKA Moscow (Russia),2004,1,23
Delonte West,Boston Celtics,Saint Joseph's,2004,1,24
Tony Allen,Boston Celtics,Oklahoma State,2004,1,25
Kevin Martin,Sacramento Kings,Western Carolina,2004,1,26
Sasha Vujacic,Los Angeles Lakers,Pallalcesto Amatori Udine (Italy),2004,1,27
Beno Udrih,San Antonio Spurs,Olimpia Milano (Italy),2004,1,28
David Harrison,Indiana Pacers,Colorado,2004,1,29
Anderson Varejao,Orlando Magic,FC Barcelona Basquet (Spain),2004,2,1
Jackson Vroman,Chicago Bulls,Iowa State,2004,2,2
Peter John Ramos,Washington Wizards,Criollos de Caguas (Puerto Rico),2004,2,3
Lionel Chalmers,Los Angeles Clippers,Xavier,2004,2,4
Donta Smith,Atlanta Hawks,Southeastern Illinois,2004,2,5
Andre Emmett,Seattle SuperSonics,Texas Tech,2004,2,6
Antonio Burks,Orlando Magic,Memphis,2004,2,7
Royal Ivey,Atlanta Hawks,Brigham Young,2004,2,8
Chris Duhon,Chicago Bulls,Duke,2004,2,9
Albert Miralles,Toronto Raptors,Roseto Sharks (Italy),2004,2,10
Justin Reed,Boston Celtics,Mississippi,2004,2,11
David Young,Seattle SuperSonics,North Carolina Central,2004,2,12
Viktor Sanikidze,Atlanta Hawks,JDA Dijon Basket (France),2004,2,13
Trevor Ariza,New York Knicks,California-Los Angeles,2004,2,14
Tim Pickett,New Orleans Hornets,Florida State,2004,2,15
Bernard Robinson,Charlotte Bobcats,Michigan,2004,2,16
Ha Ha,Portland Trail Blazers,Yonsei (KOR),2004,2,17
Pape Sow,Miami Heat,Cal State-Fullerton,2004,2,18
Ricky Minard,Sacramento Kings,Morehead State,2004,2,19
Sergei Lishouk,Memphis Grizzlies,Miami (FL),2004,2,20
Vassilis Spanoulis,Dallas Mavericks,Maroussi B.C. (Greece),2004,2,21
Christian Drejer,New Jersey Nets,FC Barcelona Basquet (Spain),2004,2,22
Romain Sato,San Antonio Spurs,Xavier,2004,2,23
Matt Freije,Miami Heat,Vanderbilt,2004,2,24
Rickey Paulding,Detroit Pistons,Missouri,2004,2,25
Luis Flores,Houston Rockets,Manhattan,2004,2,26
Marcus Douthit,Los Angeles Lakers,Providence,2004,2,27
Sergei Karaulov,San Antonio Spurs,Sakha-Yakutia Yakutsk (Russia),2004,2,28
Blake Stepp,Minnesota Timberwolves,Gonzaga,2004,2,29
Rashad Wright,Indiana Pacers,Georgia,2004,2,30
LeBron James,Cleveland Cavaliers,Saint Vincent-Saint Mary,2003,1,1
Darko Milicic,Detroit Pistons,KK Vrsac (Serbia),2003,1,2
Carmelo Anthony,Denver Nuggets,Syracuse,2003,1,3
Chris Bosh,Toronto Raptors,Georgia Tech,2003,1,4
Dwyane Wade,Miami Heat,Marquette,2003,1,5
Chris Kaman,Los Angeles Clippers,Central Michigan,2003,1,6
Kirk Hinrich,Chicago Bulls,Kansas,2003,1,7
T.J. Ford,Milwaukee Bucks,Texas,2003,1,8
Michael Sweetney,New York Knicks,Georgetown,2003,1,9
Jarvis Hayes,Washington Wizards,Georgia,2003,1,10
Mickael Pietrus,Golden State Warriors,Elan Bearnais Pau-Orthez (France),2003,1,11
Nick Collison,Seattle SuperSonics,Kansas,2003,1,12
Marcus Banks,Memphis Grizzlies,Nevada-Las Vegas,2003,1,13
Luke Ridnour,Seattle SuperSonics,Oregon,2003,1,14
Reece Gaines,Orlando Magic,Louisville,2003,1,15
Troy Bell,Boston Celtics,Boston College,2003,1,16
Zarko Cabarkapa,Phoenix Suns,KK Buducnost Podgorica (Montenegro),2003,1,17
David West,New Orleans Hornets,Xavier,2003,1,18
Sasha Pavlovic,Utah Jazz,KK Buducnost Podgorica (Montenegro),2003,1,19
Dahntay Jones,Boston Celtics,Duke,2003,1,20
Boris Diaw,Atlanta Hawks,Elan Bearnais Pau-Orthez (France),2003,1,21
Zoran Planinic,New Jersey Nets,KK Cibona (Croatia),2003,1,22
Travis Outlaw,Portland Trail Blazers,Starkville,2003,1,23
Brian Cook,Los Angeles Lakers,Illinois,2003,1,24
Carlos Delfino,Detroit Pistons,Fortitudo Pallacanestro Bologna (Italy),2003,1,25
Ndudi Ebi,Minnesota Timberwolves,Westbury Christian School,2003,1,26
Kendrick Perkins,Memphis Grizzlies,Clifton J. Ozen,2003,1,27
Leandro Barbosa,San Antonio Spurs,Associacao Bauru Basketball Team (Brazil),2003,1,28
Josh Howard,Dallas Mavericks,Wake Forest,2003,1,29
Maciej Lampe,New York Knicks,Madrid (ESP),2003,2,1
Jason Kapono,Cleveland Cavaliers,California-Los Angeles,2003,2,2
Luke Walton,Los Angeles Lakers,Arizona,2003,2,3
Jerome Beasley,Miami Heat,North Dakota,2003,2,4
Sofoklis Schortsanitis,Los Angeles Clippers,Iraklis Thessaloniki B.C. (Greece),2003,2,5
Szymon Szewczyk,Milwaukee Bucks,Basketball Lowen Braunschweig (Germany),2003,2,6
Mario Austin,Chicago Bulls,Mississippi State,2003,2,7
Travis Hansen,Atlanta Hawks,Brigham Young,2003,2,8
Steve Blake,Washington Wizards,Maryland,2003,2,9
Slavko Vranes,New York Knicks,KK Buducnost Podgorica (Montenegro),2003,2,10
Derrick Zimmerman,Golden State Warriors,Mississippi State,2003,2,11
Willie Green,Seattle SuperSonics,Detroit Mercy,2003,2,12
Zaza Pachulia,Orlando Magic,Ulkerspor (Turkey),2003,2,13
Keith Bogans,Milwaukee Bucks,Kentucky,2003,2,14
Malick Badiane,Houston Rockets,TV Langen (Germany),2003,2,15
Matt Bonner,Chicago Bulls,Florida,2003,2,16
Sani Becirovic,Denver Nuggets,Virtus Pallacanestro Bologna (Italy),2003,2,17
Mo Williams,Utah Jazz,Alabama,2003,2,18
James Lang,New Orleans Hornets,Central Park Christian,2003,2,19
James Jones,Indiana Pacers,Miami (FL),2003,2,20
Paccelis Morlende,Philadelphia 76ers,JDA Dijon Basket (France),2003,2,21
Kyle Korver,New Jersey Nets,Creighton,2003,2,22
Remon Van de Hare,Toronto Raptors,FC Barcelona Basquet (Spain),2003,2,23
Tommy Smith,Chicago Bulls,Arizona State,2003,2,24
Nedzad Sinanovic,Portland Trail Blazers,HKK Brotnjo (Bosnia and Herzegovina),2003,2,25
Rick Rickert,Minnesota Timberwolves,Minnesota,2003,2,26
Brandon Hunter,Boston Celtics,Ohio,2003,2,27
Xue Yuyang,Dallas Mavericks,Hong Kong Flying Dragons (China),2003,2,28
Andreas Glyniadakis,Detroit Pistons,A.E.K. Athens B.C. (Greece),2003,2,29
Yao Ming,Houston Rockets,Shanghai Sharks (China),2002,1,1
Jay Williams,Chicago Bulls,Duke,2002,1,2
Mike Dunleavy,Golden State Warriors,Duke,2002,1,3
Drew Gooden,Memphis Grizzlies,Kansas,2002,1,4
Nikoloz Tskitishvili,Denver Nuggets,Universo Treviso Basket (Italy),2002,1,5
Dajuan Wagner,Cleveland Cavaliers,Memphis,2002,1,6
Nene,New York Knicks,CR Vasco da Gama (Brazil),2002,1,7
Chris Wilcox,Los Angeles Clippers,Maryland,2002,1,8
Amar'e Stoudemire,Phoenix Suns,Cypress Creek,2002,1,9
Caron Butler,Miami Heat,Connecticut,2002,1,10
Jared Jeffries,Washington Wizards,Indiana,2002,1,11
Melvin Ely,Los Angeles Clippers,Fresno State,2002,1,12
Marcus Haislip,Milwaukee Bucks,Tennessee,2002,1,13
Fred Jones,Indiana Pacers,Oregon,2002,1,14
Bostjan Nachbar,Houston Rockets,Universo Treviso Basket (Italy),2002,1,15
Jiri Welsch,Philadelphia 76ers,KK Olimpija (Slovenia),2002,1,16
Juan Dixon,Washington Wizards,Maryland,2002,1,17
Curtis Borchardt,Orlando Magic,Stanford,2002,1,18
Ryan Humphrey,Utah Jazz,Notre Dame,2002,1,19
Kareem Rush,Toronto Raptors,Missouri,2002,1,20
Qyntel Woods,Portland Trail Blazers,Northeast Mississippi Community College,2002,1,21
Casey Jacobsen,Phoenix Suns,Stanford,2002,1,22
Tayshaun Prince,Detroit Pistons,Kentucky,2002,1,23
Nenad Krstic,New Jersey Nets,KK Partizan (Serbia),2002,1,24
Frank Williams,Denver Nuggets,Illinois,2002,1,25
John Salmons,San Antonio Spurs,Miami (FL),2002,1,26
Chris Jefferies,Los Angeles Lakers,Fresno State,2002,1,27
Dan Dickau,Sacramento Kings,Gonzaga,2002,1,28
Steve Logan,Golden State Warriors,Cincinnati,2002,2,1
Roger Mason Jr.,Chicago Bulls,Virginia,2002,2,2
Robert Archibald,Memphis Grizzlies,Illinois,2002,2,3
Vincent Yarbrough,Denver Nuggets,Tennessee,2002,2,4
Dan Gadzuric,Milwaukee Bucks,California-Los Angeles,2002,2,5
Carlos Boozer,Cleveland Cavaliers,Duke,2002,2,6
Milos Vujanic,New York Knicks,KK Partizan (Serbia),2002,2,7
David Andersen,Atlanta Hawks,Virtus Pallacanestro Bologna (Italy),2002,2,8
Tito Maddox,Houston Rockets,Fresno State,2002,2,9
Rod Grizzard,Washington Wizards,Alabama,2002,2,10
Juan Carlos Navarro,Washington Wizards,FC Barcelona Basquet (Spain),2002,2,11
Mario Kasun,Los Angeles Clippers,Skyliners Frankfurt (Germany),2002,2,12
Flip Murray,Milwaukee Bucks,Shaw,2002,2,13
Jason Jennings,Portland Trail Blazers,Arkansas State,2002,2,14
Lonny Baxter,Chicago Bulls,Maryland,2002,2,15
Sam Clancy,Philadelphia 76ers,Southern California,2002,2,16
Matt Barnes,Memphis Grizzlies,California-Los Angeles,2002,2,17
Jamal Sampson,Utah Jazz,California,2002,2,18
Chris Owens,Milwaukee Bucks,Texas,2002,2,19
Peter Fehse,Seattle SuperSonics,SV Halle (Germany),2002,2,20
Darius Songaila,Boston Celtics,Wake Forest,2002,2,21
Federico Kammerichs,Portland Trail Blazers,Club Ourense Baloncesto (Spain),2002,2,22
Marcus Taylor,Minnesota Timberwolves,Michigan State,2002,2,23
Rasual Butler,Miami Heat,La Salle,2002,2,24
Tamar Slay,New Jersey Nets,Marshall,2002,2,25
Mladen Sekularac,Dallas Mavericks,KK FMP (Serbia),2002,2,26
Luis Scola,San Antonio Spurs,Saski Baskonia (Spain),2002,2,27
Randy Holcomb,San Antonio Spurs,San Diego State,2002,2,28
Corsley Edwards,Sacramento Kings,Central Connecticut State,2002,2,29
Kwame Brown,Washington Wizards,Glynn Academy,2001,1,1
Tyson Chandler,Los Angeles Clippers,Dominguez,2001,1,2
Pau Gasol,Atlanta Hawks,FC Barcelona Basquet (Spain),2001,1,3
Eddy Curry,Chicago Bulls,Thornwood,2001,1,4
Jason Richardson,Golden State Warriors,Michigan State,2001,1,5
Shane Battier,Memphis Grizzlies,Duke,2001,1,6
Eddie Griffin,New Jersey Nets,Seton Hall,2001,1,7
DeSagana Diop,Cleveland Cavaliers,Oak Hill Academy,2001,1,8
Rodney White,Detroit Pistons,North Carolina-Charlotte,2001,1,9
Joe Johnson,Boston Celtics,Arkansas,2001,1,10
Kedrick Brown,Boston Celtics,Northwest Florida State,2001,1,11
Vladimir Radmanovic,Seattle SuperSonics,KK FMP (Serbia),2001,1,12
Richard Jefferson,Houston Rockets,Arizona,2001,1,13
